collection_id,patientID,StudyInstanceUID,SeriesInstanceUID,SOPInstanceUID,gcs_url,md5_hash
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.2.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.2.15.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf1139.dcm,deacd540ea32688064f46cc1229d8925
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.2.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.2.13.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf1144.dcm,91f7cac09d9866256558c276dbc901fc
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.2.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.2.11.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf1149.dcm,a6931a8cb338a9f9224e84db25051612
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.2.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.2.9.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf1154.dcm,7de3d670e6a47ba25455a92bdb475175
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.2.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.2.7.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf1159.dcm,7807113363d1e8949eb98954ea1710aa
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.2.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.2.5.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf1164.dcm,70d6baa8d42f63c8c237164e42515546
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.2.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.2.3.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf1169.dcm,2f200cad105b948285f8dcb2c7eb0796
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.2.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.2.1.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf1174.dcm,25ad333f22f4af4f0321bf5c1aca2cf7
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.1.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3383.dcm,96d9862bb7be63d18215556b039ff146
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.3.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3387.dcm,25e8d88a270cf7b82bec1ae7c83e53cd
